,구,URL_ID,카페명,평점,리뷰개수,주소,행정동,영업시간,전화번호,홈페이지주소,태그,메뉴,대표사진주소,경도,위도
10,마포구,1513265709,포비 합정점,3.6,146건,서울 마포구 양화로3길 66,마포구 합정동,영업시간&매일 10:30 ~ 22:30&(오후 9시 이후 베이글은 포장 판매만 가능)&매일 라스트오더 ~ 22:00,02-566-3861,fourb.co.kr,#카페 #루프탑있는 #제로페이,"메뉴 이름: PICCOLO 가격: 4,000++메뉴 이름: LONG BLACK 가격: 3,800++메뉴 이름: AUSSIEICE 가격: 5,500++메뉴 이름: AFFOGATO 가격: 5,000++메뉴 이름: MOCHA 가격: 5,000",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F5C305D6807F04316803BC117F752648A,126.9110576,37.55195098
11,마포구,123575123,당인리책발전소,3.5,57건,서울 마포구 월드컵로14길 10-8 1층,마포구 서교동,영업시간&매일 10:00 ~ 22:00,,www.instagram.com/danginbookplant,#북카페 #독립서점 #북카페 #제로페이,"메뉴 이름: 아메리카노 가격: 5,000++메뉴 이름: 카페라떼 가격: 5,500++메뉴 이름: 바닐라라떼 가격: 6,000++메뉴 이름: 슈퍼말차라떼 가격: 6,500++메뉴 이름: 밀크초콜릿 가격: 5,500",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F11311EAB078445069DC603037E003EC1,126.9111499,37.55569085
12,마포구,27508963,테일러커피 연남1호점,3.7,74건,서울 마포구 성미산로 189 1층,마포구 연남동,영업시간&매일 10:00 ~ 22:00,02-326-0355,www.tailorcoffee.com,#카페 #데이트코스,"메뉴 이름: Americano 가격: 5,500++메뉴 이름: Catte Latte 가격: 6,000++메뉴 이름: Cream Mocha (HOT) 가격: 6,500++메뉴 이름: Bluesy (ICE) 가격: 6,000++메뉴 이름: Einspanner 가격: 6,500",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F05F3CE96AFD74688A51D2E22D7C4C0DF,126.9264014,37.56310965
13,마포구,23634722,1984,3.7,50건,서울 마포구 동교로 194 혜원빌딩 1층,마포구 서교동,영업시간&매일 10:00 ~ 24:00,02-325-1984,www.re1984.com,#북카페 #데이트코스 #독립서점 #로스팅전문 #북카페,"메뉴 이름: 카페라테 가격: 6,000++메뉴 이름: 뱅쇼 가격: 8,000++메뉴 이름: 말차라테 가격: 6,500++메뉴 이름: 쇼콜라 가격: 6,800++메뉴 이름: 사과착즙주스 가격: 7,000++메뉴 이름: 플레인 베이글 가격: 4,000",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FC049DD8C22FE4126BE1E1A4A4289A05C,126.9228867,37.55738475
14,마포구,26485620,오츠에스프레소,4.5,84건,서울 마포구 독막로14길 32 지하 1층,마포구 서강동,"영업시간&월~금 10:00 ~ 20:00&토,일 12:00 ~ 20:00&공휴일&12:00 ~ 20:00",,www.instagram.com/oatsespresso,#커피전문점 #데이트코스 #로스팅전문,"메뉴 이름: 아메리카노 가격: 4,000++메뉴 이름: 카페라떼 가격: 4,500++메뉴 이름: 오츠아메리카노 가격: 4,000++메뉴 이름: 오츠라떼 가격: 4,500++메뉴 이름: 아인슈페너 가격: 5,000++메뉴 이름: 더치바닐라 가격: 4,500++메뉴 이름: 오츠초콜릿 가격: 5,000",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2FD382FE34143A4F708448908D061C6CA6,126.9227024,37.54733608
15,마포구,1960387368,톤앤매너,4.2,26건,서울 마포구 와우산로29가길 13 1층,마포구 서교동,영업시간&매일 12:00 ~ 21:00,02-332-8252,www.instagram.com/tone_manner077,#카페 #데이트코스 #루프탑있는 #분위기좋은 #제로페이,"메뉴 이름: 딸기라떼 가격: 6,000++메뉴 이름: 망고스무디 가격: 6,000++메뉴 이름: 블루베리스무디 가격: 6,500++메뉴 이름: 밀크티 가격: 6,000++메뉴 이름: 레몬에이드 가격: 6,000",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalad_thumb%2Ft%2Fe954fb06be9b64ac0eb978c43cbe6628880e60ff,126.9286925,37.55426845
16,마포구,24855092,빈브라더스 합정점,4.3,88건,서울 마포구 토정로 35-1,마포구 합정동,영업시간&매일 11:00 ~ 21:00,02-6012-2001,www.beanbrothers.co.kr,#커피전문점 #로스팅전문 #핸드드립전문점,"메뉴 이름: 핸드드립 가격: 7,000++메뉴 이름: 원앤원 가격: 6,000++메뉴 이름: 에스프레소 가격: 6,000++메뉴 이름: 롱블랙 가격: 6,000++메뉴 이름: 아메리카노 가격: 6,000++메뉴 이름: 카푸치노 가격: 6,000++메뉴 이름: 라떼 가격: 6,000",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FEBD33CA7E7954A9980E72568E20118EC,126.9149838,37.54572416
17,마포구,27248379,테일러커피 서교점,4.3,110건,서울 마포구 와우산로27길 7 2층,마포구 서교동,영업시간&매일 11:00 ~ 22:00,02-334-0355,www.tailorcoffee.com,#커피전문점 ,,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FA7B7FC086026419F92CB3096D307BFD6,126.9276464,37.55383525
18,마포구,1710643353,브런치가,2.7,43건,서울 마포구 월드컵북로4길 39,마포구 서교동,영업시간&매일 09:00 ~ 23:00&매일 라스트오더 ~ 21:00,02-735-0263,www.instagram.com/brunchga_hongdae,#카페 #데이트코스 #브런치카페 #소개팅 #제로페이,"메뉴 이름: 뉴욕 스타일 스테이크 가격: 19,800++메뉴 이름: 아메리카노 가격: 4,100++메뉴 이름: 카페라떼 가격: 4,500++메뉴 이름: 얼그레이 가격: 5,500++메뉴 이름: 레몬에이드 가격: 6,000",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F7815F6C2D62D4C8F850BC0EBE790DFA5,126.9214589,37.5580955
19,마포구,500916307,작당모의,3.2,94건,"서울 마포구 동교로32길 19 1층 101,102호",마포구 연남동,영업시간&매일 12:00 ~ 21:00,070-8838-3815,www.instagram.com/zakdangmoi,#카페 #데이트코스 #디저트카페 #제로페이,"메뉴 이름: 아메리카노 가격: 5,000++메뉴 이름: 카페라떼 가격: 5,500++메뉴 이름: 플랫화이트 가격: 5,500++메뉴 이름: 아인슈페너 가격: 6,500++메뉴 이름: 수제밀크티 가격: 7,000++메뉴 이름: 계절과일음료 가격: 7,500",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2Fsearchregister_1346633313,126.9254221,37.56061609
20,마포구,27481601,딥블루레이크,4.2,118건,서울 마포구 포은로6길 11 지1층,마포구 망원1동,영업시간&매일 11:00 ~ 21:00&매일 라스트오더 ~ 20:30&휴무일&연중무휴,02-323-8532,www.deepbluelakecoffee.com,#커피전문점 #데이트코스 #로스팅전문 #제로페이,"메뉴 이름: Americano 가격: 4,000++메뉴 이름: Cafe Latte 가격: 4,500++메뉴 이름: Cappuccino 가격: 4,500++메뉴 이름: Green Nut Latte 가격: 6,000++메뉴 이름: Milk Tea 가격: 6,000",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F2152F64D56CB274D09,126.9056675,37.55584482
21,마포구,1724856950,카페밤비,3.3,29건,서울 마포구 동교로9길 36 1층,마포구 망원1동,영업시간&매일 12:00 ~ 21:00&휴무일&연중무휴,,www.instagram.com/cafe_bam_bi,#디저트카페 #공주풍 #데이트코스 #레터링케이크 #케이크주문제작 #제로페이,,,126.9098368,37.555486
22,마포구,320756645,딩가케이크,2.6,108건,서울 마포구 동교로29길 68,마포구 연남동,영업시간&매일 11:30 ~ 21:00&휴무일&연중무휴,,instagram.com/dingacakehouse,#디저트카페 #빈티지분위기 #제로페이,"메뉴 이름: Americano 가격: 5,000++메뉴 이름: Cafe latte 가격: 5,500++메뉴 이름: Mocha latte 가격: 5,800++메뉴 이름: Strawberry shake 가격: 7,000++메뉴 이름: Kiwi banana 가격: 7,300",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F9AAD44CE356345249C0BC47DEFDC60B4,126.9220654,37.56338937
23,마포구,1007372949,오랑지,4.7,98건,서울 마포구 동교로38길 13 2층,마포구 연남동,"영업시간&월,수,목,금,토,일 12:00 ~ 20:00&휴무일&화요일",,www.instagram.com/ohrange.cafe,#카페 #데이트코스,"메뉴 이름: 오라떼 (ICE) 가격: 6,000++메뉴 이름: 아메리카노 가격: 5,000++메뉴 이름: 화이트 라떼 가격: 5,000++메뉴 이름: 사쿠라 사쿠라 가격: 6,000",,126.925016,37.56207537
24,마포구,975758911,카페스콘,3.5,46건,서울 마포구 성미산로 172,마포구 연남동,영업시간&매일 10:00 ~ 22:00,02-323-7076,www.instagram.com/cafe_skon,#카페 #데이트코스 #루프탑있는 #제로페이,,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F08E2EABFEA44433B89CA9B545D47678E,126.9247767,37.56410449
25,마포구,1737597646,앤디스커피,3.5,23건,서울 마포구 와우산로35길 75 2층,마포구 서교동,"영업시간&월~금 12:00 ~ 23:00&토,일 11:00 ~ 23:00",070-7706-3404,www.instagram.com/official_andyscoffee,#카페 #데이트코스 #디저트카페 #루프탑있는,,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FBEA90F9B58A64515A32BF9C666C22646,126.9267254,37.5563861
26,마포구,20808938,커피가게동경,3.7,116건,서울 마포구 망원로6길 21 지하,마포구 망원1동,"영업시간&화~토 13:00 ~ 22:00&화~토 라스트오더 ~ 21:00&휴무일&월,일요일",070-4845-0619,smartstore.naver.com/coffeeshopdongkyung,#커피전문점 #데이트코스 #로스팅전문 #핸드드립전문점 #제로페이,"메뉴 이름: 핸드드립 가격: 5,000++메뉴 이름: 아인슈페너 가격: 5,000++메뉴 이름: 아몬드 모카자바 가격: 5,000++메뉴 이름: 중배전 블렌드(150g) 가격: 10,000++메뉴 이름: 에티오피아(150g) 가격: 10,000++메뉴 이름: 강배전 블렌드(150g) 가격: 10,000++메뉴 이름: 케냐(150g) 가격: 10,000++메뉴 이름: 온두라스(150g) 가격: 10,000++메뉴 이름: 과테말라(150g) 가격: 10,000++메뉴 이름: 코스타리카(150g) 가격: 10,000",,126.9035608,37.5559502
27,마포구,111850276,얼스어스,3.6,101건,서울 마포구 성미산로 150,마포구 연남동,"영업시간&월,수,목,금,토,일 12:00 ~ 21:00&휴무일&화요일",,www.instagram.com/earth__us,#카페 #제로웨이스트샵,"메뉴 이름: 아메리카노 가격: 5,000++메뉴 이름: 카페라떼 가격: 5,500++메뉴 이름: 그린티 아일랜드 가격: 6,500++메뉴 이름: 딸기라임에이드 가격: 7,500++메뉴 이름: 눈누난나바나나 크림치즈케이크 가격: 8,000",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FA45A1CDD37364DC9A32F57E8A879BECC,126.9232741,37.56413438
28,마포구,11553130,커피리브레 연남점,3.4,149건,서울 마포구 성미산로 200,마포구 연남동,영업시간&매일 11:00 ~ 20:00,02-334-0615,www.instagram.com/coffeelibre_yn,#커피전문점 #스페셜티커피 #에스프레소 #연남동카페 #원두판매 #핸드드립 #로스팅전문 #핸드드립전문점 #카카오페이 #제로페이,"메뉴 이름: 에스프레소 가격: 4,000++메뉴 이름: 아메리카노 가격: 4,000++메뉴 이름: 카페 라떼 가격: 4,000++메뉴 이름: 핸드 드립 가격: 4,000++메뉴 이름: 더치 커피 가격: 6,000++메뉴 이름: 더치 라떼 가격: 6,000++메뉴 이름: 아이스티 가격: 5,500++메뉴 이름: 밀크티 가격: 6,500++메뉴 이름: 핫 초콜렛 가격: 6,000++메뉴 이름: 아이스 초콜렛 가격: 6,000++메뉴 이름: 바닐라 라떼 가격: 5,000++메뉴 이름: 오트 라떼 가격: 5,000++메뉴 이름: 콤부차 가격: 5,500++메뉴 이름: 쿠키 가격: 2,500",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F8B933339DC3E4BF2B9033A30ADBCA5F4,126.9269597,37.56219749
29,마포구,2082554607,밤부베이커리&브루잉,3.5,69건,서울 마포구 월드컵로5길 33-23,마포구 합정동,영업시간&매일 11:00 ~ 22:30,02-3144-0446,coffeedna.co.kr,#디저트카페 #데이트코스 #베이커리카페,"메뉴 이름: 아메리카노 가격: 4,000++메뉴 이름: 플랫화이트 가격: 4,500++메뉴 이름: 카페라떼 가격: 4,500++메뉴 이름: 콜드커피 가격: 4,500++메뉴 이름: 오란다 라떼 (ICE) 가격: 5,500",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2Fsearchregister_1753550251,126.910974,37.55061657
30,마포구,1902772928,랑데자뷰 상수점,3.3,30건,서울 마포구 와우산로13길 49,마포구 서강동,영업시간&매일 12:00 ~ 00:00,070-4255-5656,www.instagram.com/rendejavous,#디저트카페 #감성카페,"메뉴 이름: Rendeja-vous (ICED) 가격: 7,000++메뉴 이름: Americano 가격: 5,500++메뉴 이름: Cafe Latte 가격: 6,000++메뉴 이름: Jeju Greentea Latte 가격: 6,500++메뉴 이름: Tarte (Seasonal fruit) 가격: 7,300",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FC47CB1D752F74CD28F12BDAF50FE8787,126.9208675,37.54845829
31,마포구,1419330175,모아새,3.7,64건,서울 마포구 포은로 71 1층,마포구 망원1동,"영업시간&수~일 13:00 ~ 24:00&휴무일&월,화요일",0507-1304-5881,,#디저트카페 ,"메뉴 이름: CANDY Pouch(100g) 가격: 7,000++메뉴 이름: CANDY Pouch MAX(140g) 가격: 10,000++메뉴 이름: CANDY Ball(180g) 가격: 14,000++메뉴 이름: TIN Case(210g) 가격: 25,000",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F1C399E4C49DB479884E41740C2C52FB9,126.9059366,37.55350601
32,마포구,26966842,콜린,3.9,48건,"서울 마포구 어울마당로 45 1, 2층",마포구 서교동,"영업시간&월,화,수,목,일 10:30 ~ 01:00&금,토 10:30 ~ 02:00&휴무일&연중무휴",02-3141-1119,,#테마카페 #데이트코스 #플라워카페 #카카오페이 #제로페이,,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalad_thumb%2Ft%2Ff4b6ac1973802a2017a3ef4829aa58a97764ecd0,126.9204264,37.54923579
33,마포구,1246652450,비트포비아 던전홍대점,4.4,14건,서울 마포구 독막로3길 30,마포구 서교동,"영업시간&월~금 11:50 ~ 23:50&토,일 10:00 ~ 23:50",02-322-4997,www.xphobia.net,#테마카페 #방탈출카페,,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F4D328F465D29480385E91C8B56D3880B,126.9173565,37.54957671
34,마포구,436951953,시루케이크,4.5,48건,서울 마포구 어울마당로1길 18 1층,마포구 합정동,"영업시간&월~토 11:00 ~ 21:00&휴무일&일요일&첫째,셋째 월요일",070-4177-7700,blog.naver.com/mintmari,#떡카페 #데이트코스 #떡카페 #제로페이,"메뉴 이름: 아메리카노 가격: 4,000++메뉴 이름: 카페라떼 가격: 4,500++메뉴 이름: 플랫화이트 가격: 4,500++메뉴 이름: 화이트 아인슈페너 가격: 5,300++메뉴 이름: 크림 대추라떼 가격: 6,500",,126.9182753,37.546795
35,마포구,1840810990,테일러커피 연남2호점,4.4,53건,"서울 마포구 성미산로 187 1, 2층",마포구 연남동,영업시간&매일 11:00 ~ 22:00,02-3143-0355,www.tailorcoffee.com,#커피전문점 ,"메뉴 이름: Americano 가격: 5,500++메뉴 이름: Flat White 가격: 6,000++메뉴 이름: Caffe Latte 가격: 6,000++메뉴 이름: Cream Mocha 가격: 6,500++메뉴 이름: Filter Coffee 가격: 7,000",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F6893C5E99D24455995AA6C6C36996800,126.9262072,37.56324733
36,마포구,1248819302,카페요호,4,60건,서울 마포구 잔다리로 88 1층,마포구 서교동,"영업시간&월~금 10:30 ~ 19:00&토,일 10:00 ~ 20:00&월~금 라스트오더1 ~ 18:00&토,일 라스트오더2 ~ 19:30",02-336-0150,www.instagram.com/cafeyoho,#카페 #데이트코스 #브런치카페,"메뉴 이름: 아메리카노 가격: 4,000++메뉴 이름: 카페라떼 가격: 4,500++메뉴 이름: 플랫화이트 가격: 4,500++메뉴 이름: 카푸치노 가격: 5,000++메뉴 이름: 싱글오리진 가격: 7,000++메뉴 이름: 체리초코라떼 가격: 5,000++메뉴 이름: 치즈버거&감자튀김 가격: 10,000++메뉴 이름: 에그 베네딕트 가격: 8,000++메뉴 이름: 요호 브런치 플레이트 가격: 13,000++메뉴 이름: 데일리 파스타 가격: 10,000++메뉴 이름: 프렌치 토스트 가격: 8,000++메뉴 이름: 얼그레이 밀크티 가격: 6,500++메뉴 이름: 자스민 바나나 밀크티 가격: 6,500++메뉴 이름: 핑크 시나몬 밀크티 가격: 6,500++메뉴 이름: 자몽에이드 가격: 5,500++메뉴 이름: 스무디 볼 가격: 8,000",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F5F3A7D8436334BF0A271A55BDC77BE27,126.9158243,37.55523861
37,마포구,26966117,버터밀크,3.9,122건,서울 마포구 와우산로 130 1층,마포구 서강동,영업시간&수요일,,www.instagram.com/butter_milk2014,#카페 #제로페이,"메뉴 이름: 토마토 주스 가격: 5,000++메뉴 이름: 초코라떼 가격: 5,000++메뉴 이름: 블랙커피 가격: 4,000++메뉴 이름: 커피라떼 가격: 4,000++메뉴 이름: 홍차 가격: 4,000++메뉴 이름: 가정식 수제 과일요거트 가격: 3,800++메뉴 이름: 자몽오렌지 샐러드 가격: 7,000",//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FD0F3C937FF9A4A5B982003C33D378CF1,126.9279924,37.55338057
